Code zone,Code zone (M49),Zone,Code Produit,Produit,Code Élément,Élément,Code édition,Édition,Unité,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F
"202","'710","Afrique du Sud","7012","Cost of oils and fats","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.13","E",,,,,,,"0.1","E",,
"202","'710","Afrique du Sud","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","7S2024","Juillet 2024 (rapport SOFI)","%","61","E","60.5","E","60.4","E","62.1","E","61.2","E","61.2","E"
"202","'710","Afrique du Sud","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","12U2024","Décembre 2024 (Mise à jour)","%","61","E","60.5","E","60.4","E","62.1","E","61.2","E","61.2","E"
"202","'710","Afrique du Sud","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","7S2024","Juillet 2024 (rapport SOFI)","millions de No","34.6","E","34.7","E","35.1","E","36.5","E","36.4","E","36.6","E"
"202","'710","Afrique du Sud","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","12U2024","Décembre 2024 (Mise à jour)","millions de No","35.2","E","35.4","E","36","E","37.6","E","37.7","E","38.2","E"
"3","'008","Albanie","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","3.04","E","3.13","E","3.32","E","3.4","E","3.55","E","4.19","E"
"3","'008","Albanie","7007","Cost of starchy staples","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.6","E",,,,,,,"0.48","E",,
"3","'008","Albanie","7008","Cost of animal source foods","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","1.2","E",,,,,,,"1.15","E",,
"3","'008","Albanie","7009","Cost of legumes, nuts and seeds","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.44","E",,,,,,,"0.42","E",,
"3","'008","Albanie","7010","Cost of vegetables","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.71","E",,,,,,,"0.61","E",,
"3","'008","Albanie","7011","Cost of fruits","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.91","E",,,,,,,"0.78","E",,
"3","'008","Albanie","7012","Cost of oils and fats","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.09","E",,,,,,,"0.11","E",,
"3","'008","Albanie","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","7S2024","Juillet 2024 (rapport SOFI)","%","24.3","E","17.5","E","15.3","E","14.1","E","12.6","E","12.2","E"
"3","'008","Albanie","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","12U2024","Décembre 2024 (Mise à jour)","%","24.3","E","17.5","E","15.3","E","14.1","E","12.6","E","12.2","E"
"3","'008","Albanie","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","7S2024","Juillet 2024 (rapport SOFI)","millions de No","0.7","E","0.5","E","0.4","E","0.4","E","0.4","E","0.3","E"
"3","'008","Albanie","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","12U2024","Décembre 2024 (Mise à jour)","millions de No","0.7","E","0.5","E","0.4","E","0.4","E","0.4","E","0.3","E"
"4","'012","Algérie","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","4.06","E","4.13","E","4.1","E","4.06","E","4.36","E","4.89","E"
"4","'012","Algérie","7007","Cost of starchy staples","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.5","E",,,,,,,"0.54","E",,
"4","'012","Algérie","7008","Cost of animal source foods","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.96","E",,,,,,,"1.33","E",,
"4","'012","Algérie","7009","Cost of legumes, nuts and seeds","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.49","E",,,,,,,"0.57","E",,
"4","'012","Algérie","7010","Cost of vegetables","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.7","E",,,,,,,"0.7","E",,
"4","'012","Algérie","7011","Cost of fruits","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.98","E",,,,,,,"1.07","E",,
"4","'012","Algérie","7012","Cost of oils and fats","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.13","E",,,,,,,"0.15","E",,
"4","'012","Algérie","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","7S2024","Juillet 2024 (rapport SOFI)","%","17.8","E","17","E","16.4","E","18.3","E","18.7","E","19.7","E"
"4","'012","Algérie","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","12U2024","Décembre 2024 (Mise à jour)","%","18.5","E","17.8","E","17.1","E","18.9","E","19.3","E","20.2","E"
"4","'012","Algérie","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","7S2024","Juillet 2024 (rapport SOFI)","millions de No","7.3","E","7.1","E","7","E","7.9","E","8.3","E","8.8","E"
"4","'012","Algérie","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","12U2024","Décembre 2024 (Mise à jour)","millions de No","7.7","E","7.5","E","7.4","E","8.3","E","8.6","E","9.2","E"
"79","'276","Allemagne","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","2.64","E","2.76","E","2.87","E","2.97","E","3.1","E","3.56","E"
"79","'276","Allemagne","7007","Cost of starchy staples","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.24","E",,,,,,,"0.3","E",,
"79","'276","Allemagne","7008","Cost of animal source foods","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.67","E",,,,,,,"0.66","E",,
"79","'276","Allemagne","7009","Cost of legumes, nuts and seeds","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.3","E",,,,,,,"0.32","E",,
"79","'276","Allemagne","7010","Cost of vegetables","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.82","E",,,,,,,"0.86","E",,
"79","'276","Allemagne","7011","Cost of fruits","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.71","E",,,,,,,"0.9","E",,
"79","'276","Allemagne","7012","Cost of oils and fats","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.05","E",,,,,,,"0.07","E",,
"79","'276","Allemagne","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","7S2024","Juillet 2024 (rapport SOFI)","%","3.5","E","2.2","E","2","E","2.5","E","2.5","E","2.2","E"
"79","'276","Allemagne","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","12U2024","Décembre 2024 (Mise à jour)","%","2.7","E","2.2","E","2.2","E","2.2","E","2.2","E","2","E"
"79","'276","Allemagne","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","7S2024","Juillet 2024 (rapport SOFI)","millions de No","2.9","E","1.9","E","1.7","E","2.1","E","2.1","E","1.9","E"
"79","'276","Allemagne","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","12U2024","Décembre 2024 (Mise à jour)","millions de No","2.3","E","1.9","E","1.9","E","1.9","E","1.9","E","1.7","E"
"6","'020","Andorre","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day",,"O",,"O",,"O",,"O",,"O",,"O"
"6","'020","Andorre","7007","Cost of starchy staples","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day",,"O",,,,,,,,"O",,
"6","'020","Andorre","7008","Cost of animal source foods","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day",,"O",,,,,,,,"O",,
"6","'020","Andorre","7009","Cost of legumes, nuts and seeds","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day",,"O",,,,,,,,"O",,
"6","'020","Andorre","7010","Cost of vegetables","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day",,"O",,,,,,,,"O",,
"6","'020","Andorre","7011","Cost of fruits","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day",,"O",,,,,,,,"O",,
"6","'020","Andorre","7012","Cost of oils and fats","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day",,"O",,,,,,,,"O",,
"6","'020","Andorre","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","7S2024","Juillet 2024 (rapport SOFI)","%",,"O",,"O",,"O",,"O",,"O",,"O"
"6","'020","Andorre","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","12U2024","Décembre 2024 (Mise à jour)","%",,"O",,"O",,"O",,"O",,"O",,"O"
"6","'020","Andorre","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","7S2024","Juillet 2024 (rapport SOFI)","millions de No",,"O",,"O",,"O",,"O",,"O",,"O"
"6","'020","Andorre","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","12U2024","Décembre 2024 (Mise à jour)","millions de No",,"O",,"O",,"O",,"O",,"O",,"O"
"7","'024","Angola","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","3.44","E","3.41","E","3.46","E","3.65","E","4","E","4.41","E"
"7","'024","Angola","7007","Cost of starchy staples","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.84","E",,,,,,,"1.12","E",,
"7","'024","Angola","7008","Cost of animal source foods","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","1.01","E",,,,,,,"1.12","E",,
"7","'024","Angola","7009","Cost of legumes, nuts and seeds","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.39","E",,,,,,,"0.41","E",,
"7","'024","Angola","7010","Cost of vegetables","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","1.2","E",,,,,,,"0.43","E",,
"7","'024","Angola","7011","Cost of fruits","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.72","E",,,,,,,"0.73","E",,
"7","'024","Angola","7012","Cost of oils and fats","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.17","E",,,,,,,"0.2","E",,
"7","'024","Angola","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","7S2024","Juillet 2024 (rapport SOFI)","%","62.7","E","65.1","E","66.8","E","70.1","E","71.7","E","72.2","E"
"7","'024","Angola","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","12U2024","Décembre 2024 (Mise à jour)","%","62.7","E","65.1","E","66.8","E","70.1","E","71.7","E","72.2","E"
"7","'024","Angola","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","7S2024","Juillet 2024 (rapport SOFI)","millions de No","18.9","E","20.4","E","21.6","E","23.4","E","24.7","E","25.7","E"
"7","'024","Angola","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","12U2024","Décembre 2024 (Mise à jour)","millions de No","19","E","20.4","E","21.6","E","23.4","E","24.8","E","25.7","E"
"8","'028","Antigua-et-Barbuda","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","3.93","E","4.11","E","4.2","E","4.31","E","4.48","E","4.97","E"
"8","'028","Antigua-et-Barbuda","7007","Cost of starchy staples","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.6","E",,,,,,,"0.61","E",,
"8","'028","Antigua-et-Barbuda","7008","Cost of animal source foods","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.68","E",,,,,,,"0.73","E",,
"8","'028","Antigua-et-Barbuda","7009","Cost of legumes, nuts and seeds","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.43","E",,,,,,,"0.44","E",,
"8","'028","Antigua-et-Barbuda","7010","Cost of vegetables","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","1.28","E",,,,,,,"1.14","E",,
"8","'028","Antigua-et-Barbuda","7011","Cost of fruits","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","1","E",,,,,,,"1.45","E",,
"8","'028","Antigua-et-Barbuda","7012","Cost of oils and fats","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.11","E",,,,,,,"0.12","E",,
"8","'028","Antigua-et-Barbuda","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","7S2024","Juillet 2024 (rapport SOFI)","%",,"O",,"O",,"O",,"O",,"O",,"O"
"8","'028","Antigua-et-Barbuda","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","12U2024","Décembre 2024 (Mise à jour)","%",,"O",,"O",,"O",,"O",,"O",,"O"
"8","'028","Antigua-et-Barbuda","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","7S2024","Juillet 2024 (rapport SOFI)","millions de No",,"O",,"O",,"O",,"O",,"O",,"O"
"8","'028","Antigua-et-Barbuda","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","12U2024","Décembre 2024 (Mise à jour)","millions de No",,"O",,"O",,"O",,"O",,"O",,"O"
"194","'682","Arabie saoudite","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","2.49","E","2.65","E","2.82","E","3","E","3.22","E","3.52","E"
"194","'682","Arabie saoudite","7007","Cost of starchy staples","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.46","E",,,,,,,"0.27","E",,
"194","'682","Arabie saoudite","7008","Cost of animal source foods","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","1.03","E",,,,,,,"1.02","E",,
"194","'682","Arabie saoudite","7009","Cost of legumes, nuts and seeds","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.3","E",,,,,,,"0.43","E",,
"194","'682","Arabie saoudite","7010","Cost of vegetables","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.74","E",,,,,,,"0.45","E",,
"194","'682","Arabie saoudite","7011","Cost of fruits","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.74","E",,,,,,,"0.8","E",,
"194","'682","Arabie saoudite","7012","Cost of oils and fats","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.17","E",,,,,,,"0.24","E",,
"194","'682","Arabie saoudite","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","7S2024","Juillet 2024 (rapport SOFI)","%",,"O",,"O",,"O",,"O",,"O",,"O"
"194","'682","Arabie saoudite","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","12U2024","Décembre 2024 (Mise à jour)","%",,"O",,"O",,"O",,"O",,"O",,"O"
"194","'682","Arabie saoudite","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","7S2024","Juillet 2024 (rapport SOFI)","millions de No",,"O",,"O",,"O",,"O",,"O",,"O"
"194","'682","Arabie saoudite","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","12U2024","Décembre 2024 (Mise à jour)","millions de No",,"O",,"O",,"O",,"O",,"O",,"O"
"9","'032","Argentine","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","3.32","E",,"Q",,"Q",,"Q",,"Q",,"Q"
"9","'032","Argentine","7007","Cost of starchy staples","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.46","E",,,,,,,,"Q",,
"9","'032","Argentine","7008","Cost of animal source foods","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.67","E",,,,,,,,"Q",,
"9","'032","Argentine","7009","Cost of legumes, nuts and seeds","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.66","E",,,,,,,,"Q",,
"9","'032","Argentine","7010","Cost of vegetables","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.7","E",,,,,,,,"Q",,
"9","'032","Argentine","7011","Cost of fruits","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.73","E",,,,,,,,"Q",,
"9","'032","Argentine","7012","Cost of oils and fats","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.12","E",,,,,,,,"Q",,
"9","'032","Argentine","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","7S2024","Juillet 2024 (rapport SOFI)","%","8.6","E",,"Q",,"Q",,"Q",,"Q",,"Q"
"9","'032","Argentine","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","12U2024","Décembre 2024 (Mise à jour)","%","8.6","E",,"Q",,"Q",,"Q",,"Q",,"Q"
"9","'032","Argentine","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","7S2024","Juillet 2024 (rapport SOFI)","millions de No","3.8","E",,"Q",,"Q",,"Q",,"Q",,"Q"
"9","'032","Argentine","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","12U2024","Décembre 2024 (Mise à jour)","millions de No","3.8","E",,"Q",,"Q",,"Q",,"Q",,"Q"
"1","'051","Arménie","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","3.21","E","3.28","E","3.36","E","3.37","E","3.66","E","4.11","E"
"1","'051","Arménie","7007","Cost of starchy staples","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.54","E",,,,,,,"0.57","E",,
"1","'051","Arménie","7008","Cost of animal source foods","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.97","E",,,,,,,"1","E",,
"1","'051","Arménie","7009","Cost of legumes, nuts and seeds","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.54","E",,,,,,,"0.39","E",,
"1","'051","Arménie","7010","Cost of vegetables","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.43","E",,,,,,,"0.58","E",,
"1","'051","Arménie","7011","Cost of fruits","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.49","E",,,,,,,"0.88","E",,
"1","'051","Arménie","7012","Cost of oils and fats","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.12","E",,,,,,,"0.24","E",,
"1","'051","Arménie","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","7S2024","Juillet 2024 (rapport SOFI)","%","49.3","E","49.5","E","53.3","E","53.8","E","54.1","E","54.9","E"
"1","'051","Arménie","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","12U2024","Décembre 2024 (Mise à jour)","%","49.3","E","49.5","E","53.3","E","53.8","E","54.1","E","54.9","E"
"1","'051","Arménie","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","7S2024","Juillet 2024 (rapport SOFI)","millions de No","1.4","E","1.4","E","1.5","E","1.5","E","1.5","E","1.5","E"
"1","'051","Arménie","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","12U2024","Décembre 2024 (Mise à jour)","millions de No","1.4","E","1.4","E","1.5","E","1.6","E","1.6","E","1.6","E"
"22","'533","Aruba","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","3.47","E","3.68","E","3.97","E","4.09","E","4.2","E","4.71","E"
"22","'533","Aruba","7007","Cost of starchy staples","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.8","E",,,,,,,"0.59","E",,
"22","'533","Aruba","7008","Cost of animal source foods","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.72","E",,,,,,,"0.77","E",,
"22","'533","Aruba","7009","Cost of legumes, nuts and seeds","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.41","E",,,,,,,"0.49","E",,
"22","'533","Aruba","7010","Cost of vegetables","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.91","E",,,,,,,"1.05","E",,
"22","'533","Aruba","7011","Cost of fruits","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.47","E",,,,,,,"1.15","E",,
"22","'533","Aruba","7012","Cost of oils and fats","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.12","E",,,,,,,"0.15","E",,
"22","'533","Aruba","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","7S2024","Juillet 2024 (rapport SOFI)","%",,"O",,"O",,"O",,"O",,"O",,"O"
"22","'533","Aruba","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","7S2024","Juillet 2024 (rapport SOFI)","millions de No",,"O",,"O",,"O",,"O",,"O",,"O"
"10","'036","Australie","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","2.33","E","2.36","E","2.4","E","2.51","E","2.58","E","2.9","E"
"10","'036","Australie","7007","Cost of starchy staples","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.22","E",,,,,,,"0.25","E",,
"10","'036","Australie","7008","Cost of animal source foods","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.46","E",,,,,,,"0.49","E",,
"10","'036","Australie","7009","Cost of legumes, nuts and seeds","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.25","E",,,,,,,"0.27","E",,
"10","'036","Australie","7010","Cost of vegetables","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.6","E",,,,,,,"0.72","E",,
"10","'036","Australie","7011","Cost of fruits","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.67","E",,,,,,,"0.77","E",,
"10","'036","Australie","7012","Cost of oils and fats","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.07","E",,,,,,,"0.08","E",,
"10","'036","Australie","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","7S2024","Juillet 2024 (rapport SOFI)","%","2.9","E","3.2","E","3.2","E","3.5","E","3.2","E","3.2","E"
"10","'036","Australie","7005","Prevalence of unaffordability (PUA), percent","6121","Valeur","12U2024","Décembre 2024 (Mise à jour)","%","2.9","E","3.2","E","3.2","E","3.5","E","3.2","E","3.2","E"
"10","'036","Australie","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","7S2024","Juillet 2024 (rapport SOFI)","millions de No","0.7","E","0.8","E","0.8","E","0.9","E","0.8","E","0.8","E"
"10","'036","Australie","7006","Number of people unable to afford a healthy diet (NUA), million","6132","Valeur","12U2024","Décembre 2024 (Mise à jour)","millions de No","0.7","E","0.8","E","0.8","E","0.9","E","0.8","E","0.8","E"
"11","'040","Autriche","7004","Cost of a healthy diet (CoHD), PPP dollar per person per day","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","2.06","E","2.11","E","2.19","E","2.3","E","2.43","E","2.76","E"
"11","'040","Autriche","7007","Cost of starchy staples","6226","Valeur","7S2024","Juillet 2024 (rapport SOFI)","PPP dollar per person per day","0.23","E",,,,,,,"0.27","E",,
